Well_id,lat_dec,long_dec,DWT,Clay,Recharge,Slope,SOM,SHG,Texture,Dist_MSW,Ndep,WellDepth,ORP,Mn,Fe,DO,Ca,Nload,MCL,Train,NO3Av,NO3Max
2809804,32.756944,-101.958055,86.649,14,2.494,1.438390017,0.75,8,6,4.068930273,4.932859898,190,-140.8450012,14.3513002,189.0070038,3.64972,51.2975006,7.5,1,Training,18.84666667,24.44
2810102,32.855833,-101.856944,24.5425,14,2.63468,1.519109964,0.75,8,6,11.79097119,4.859240055,58,-93.0483017,10.4172001,127.8410034,4.8428602,237.6699982,7.5,1,Training,175.75,175.75
2738802,32.416388,-102.31861,82.11375,7,1.4078799,2.820909977,1.25,8,9,13.87606414,3.929820061,95,91.72650146,34.0805016,447.0320129,7.7475901,61.4734993,2,1,Training,12.8,12.8
657906,35.024166,-101.894999,129.2744444,25,3.0290699,1.338080049,0.550000012,8,5,4.045531078,11.28439999,160,116.9700012,9.2431202,60.0115013,3.96171,44.3328018,7.5,1,Training,22.62,22.62
2845701,32.289999,-101.496666,44.5,14,2.78337,1.277220011,0.75,8,6,4.934751834,4.548590183,84,-152.3410034,217.3659973,222.7120056,2.92784,90.2889023,2,1,Training,72.76,72.76
2803901,32.901111,-101.651944,18.60555556,28.5,3.1526699,0.797874987,1.5,6,3,21.7440271,4.510829926,145,-118.4919968,10.5555,40.3582993,5.28579,184.598999,3.1,1,Training,81.14,81.14
538511,35.456111,-100.308611,44,7.5,4.6388402,5.3708601,0.75,8,8,14.36950181,7.138949871,126,151.3300018,37.8395004,277.0329895,8.5680799,88.5574036,3.1,1,Training,51.4,51.4
349401,36.198333,-101.972221,258.354,33.5,1.97026,1.438390017,2,4,3,10.30701304,10.02320004,363,166.7740021,36.5699005,43.110199,7.5766802,49.0606995,3.1,1,Training,36.66,36.66
2850301,32.232221,-101.765555,21.97,20,1.94664,1.017099977,1.5,8,5,5.205447559,4.269690037,39,78.6536026,132.8309937,80.2903976,5.6394901,252.2579956,3.1,1,Training,63.095,70.39
1005225,34.969721,-102.438055,285.9,33.5,2.85375,0.630775988,2,4,3,9.742417003,12.12360001,375,-75.70110321,10.0634003,24.4692001,6.9408898,38.8406982,10,1,Training,12.12,12.12
2702507,32.924443,-102.794999,114.54375,7.5,2.42169,0.997344017,0.550000012,8,8,11.86478271,5.402480125,165,65.07160187,21.1823997,103.0759964,6.2728901,163.8650055,10,1,Training,54.24,54.24
2817115,32.731666,-101.976666,54.59272727,16,2.4832001,1.608170033,2,8,6,3.053636599,4.911799908,150,-139.2830048,15.1169004,206.0910034,4.1671,96.9828033,7.5,1,Training,41.5,41.5
523709,35.635277,-100.232221,48.5,7.5,5.9846401,2.082509995,0.75,8,8,26.63180876,7.760029793,223,160.6569977,44.6805992,348.8710022,8.3922901,70.6411972,3.1,1,Training,62.2,69.95
2801801,32.900555,-101.929443,19.89,15,2.58815,0.719195008,0.75,8,6,13.85883629,4.956980228,80,-18.76440048,10.4700003,145.0240021,4.9844699,113.3130035,7.5,1,Training,182.765,219
2349103,33.216388,-101.980554,53.556,7.5,2.9227901,0.892050982,0.550000012,8,8,11.07969046,4.754909992,100,39.62929916,20.0403004,184.5449982,5.4137998,177.298996,7.5,1,Training,116.205,139
2336806,33.376666,-101.566943,169.4844444,21.5,3.4542699,0.719195008,1.5,8,5,16.49035515,5.220620155,218,50.23519897,15.4540997,409.6619873,5.0942101,99.4088974,10,1,Training,26.68,41.94
